S/K,Maturity,Volatility,Rate,Labels,Prices,Strikes,Weight_0,Weight_1,Weight_2
0.5048151633232411,0.93107842840333,0.502186508814418,0.04132471579140347,2.791260895210149,99.99403566801384,198.08049150058133,0.4188885704827372,0.5771155533323954,0.003995876184867266
0.4928060815985645,0.6543624744099055,0.1527177526448123,0.06149075937668046,9.735463432537805e-08,98.76624731345277,200.41604801847166,0.1379157929354295,0.44093505167803126,0.42114915538653924
0.5003249445129603,0.7266234860957277,0.351636490867787,0.03058851206942255,0.183069089872119,100.03066264520506,199.931392072765,0.3362919098150897,0.5482819570984008,0.11542613308650951
0.4929730138526068,0.6980945659027094,0.5240121133634168,0.03486478384326158,1.5283002680940152,98.89246769736373,200.6042215668451,0.4339612883218544,0.2458697380428948,0.3201689736352507
0.5114840075073503,0.9327816134716391,0.960819529583079,0.0925705522987381,19.163463854961435,101.70878993136819,198.85038131892435,0.2205533990923016,0.2894208790575313,0.4900257218501672
0.5017733879559004,0.49386922568363817,0.27546770659261494,0.02649703519873377,0.0016230905537031465,100.49202266669425,200.27371932990243,0.06217147057588062,0.043170315887116874,0.8946582135370025
0.49955344485676206,0.44557049348369115,0.6547861487083568,0.053605241460811734,1.63637211316696,100.34642408280106,200.87224923766382,0.18496385323560927,0.4333461395973738,0.38169000716701695
0.486000356093486,0.5984789646414981,0.32258246100659244,0.05212080942597691,0.028881040726054852,96.85513541891186,199.29025607602847,0.07975000834474556,0.3861561613949265,0.5340938302603279
0.49591335858464997,0.44299926062902595,0.5445819767719736,0.08826454975181565,0.6601320627881924,99.35019031866173,200.33779812306295,0.14062197320788952,0.778485946180281,0.08089208061182944
0.5057132269966613,0.33949501589954123,0.5880013219067614,0.036811834544183464,0.4561266912987634,100.29713557353926,198.32808441492753,0.5729504182525663,0.31895141531909854,0.10809816642833515
0.5027643305362829,0.2617241182693452,0.8506641319887575,0.024802650040568378,1.5231352406639207,100.44633750337566,199.78811423680895,0.23345315177003034,0.42611450817531876,0.34043234005465095
0.5041649408358385,0.9907514223053877,0.18260898109658763,0.08613429800849214,0.003148502792475416,100.58430433051369,199.50674111483886,0.5029537954142934,0.21626358843136376,0.2807826161543429
0.4928020154904933,0.8317347811928579,0.910588342896114,0.09124204016081754,13.775113305723163,98.73758972207418,200.3595493086593,0.19480668295399511,0.4067567363177112,0.39843658072829374
0.5074013854276712,1.029820804674568,0.1524843198434739,0.05760668608429417,0.00015039368316755244,100.54955939426299,198.165717087101,0.4972084354140062,0.06768047574476319,0.43511108884123073
0.5068636029022476,0.453599073380873,0.07829948164000203,0.0712115877735575,3.764690673529128e-35,101.6109604985567,200.47002766965912,0.07432184231574575,0.38603806992012973,0.5396400877641244
0.4918912161952573,0.41893986790335747,0.028459246533582776,0.030580719389094346,0.0,98.35404508053124,199.95080587389344,0.3196849091702361,0.04876760051014584,0.631547490319618
0.499002931025947,0.37178657942083926,0.5090913957846669,0.08201235544551713,0.24856618846734468,100.5215765823802,201.44486200854263,0.2766315412929396,0.16762749619174916,0.5557409625153112
0.5031260920671631,0.5919606688132716,0.06493832463294635,0.08536255428323056,9.853457551653212e-38,100.6211282682159,199.99187053646946,0.5100475127864121,0.1361008365410955,0.3538516506724923
0.49989752304276547,0.9320601876440757,0.049840862327754545,0.07191488735393554,2.4764392112874083e-39,100.4133599047078,200.86788846944856,0.21201625857990267,0.6762464225149507,0.11173731890514667
0.5010677206148048,0.20051372273371815,0.23476884732372894,0.0252487896400386,7.438619484987943e-11,100.75162600076756,201.07387056812675,0.4026814671367238,0.40269985837029376,0.1946186744929823
0.5029509077620895,0.5089648911429687,0.046242074419112204,0.04614393708415322,5.550115637732979e-91,100.23448218479606,199.29277517520637,0.25898121789075684,0.6846779040098936,0.05634087809934939
0.5064722583261984,0.33895284963333705,0.46764645159363305,0.02430042224298995,0.08448621987146243,101.14034334578751,199.6957220915486,0.4714561106314588,0.45308453081301986,0.07545935855552138
0.5076187159585934,0.47886947504814026,0.2003805883166384,0.08774327043094841,8.700490676232225e-06,101.0865580300343,199.13875287112137,0.5831435020012457,0.3330210664319043,0.08383543156684996
0.504885041045074,0.9298069410769976,0.9235891783039918,0.08096654814738728,16.807183749621377,100.05455736936285,198.17294876128128,0.37437146789061837,0.5719408671864649,0.05368766492291683
